,index,close_score,date,open_score,Close,Date,High,Low,Open
0,0,0.093629201,3/14/2017,0.033530404,1289.5,3/14/2017,1319.0,1285.25,1318.75
1,0,0.088488556,3/15/2017,0.068960784,1304.95,3/15/2017,1316.3,1290.4,1291.05
2,0,0.20955036100000002,3/16/2017,0.142469877,1297.65,3/16/2017,1310.4,1293.6,1310.0
3,0,0.08692897699999999,3/17/2017,0.103239024,1300.7,3/17/2017,1319.95,1298.05,1308.0
4,0,0.0,3/20/2017,0.0,1280.8,3/20/2017,1306.25,1278.35,1306.0
5,0,0.19123601899999998,3/21/2017,0.0,1263.8,3/21/2017,1283.9,1259.3,1282.2
6,0,0.057127092000000004,3/22/2017,0.004301563,1259.7,3/22/2017,1265.9,1246.55,1252.0
7,0,0.127134896,3/23/2017,0.206134987,1273.3,3/23/2017,1277.55,1258.0,1263.15
8,0,0.10073783800000001,3/24/2017,0.182294865,1286.75,3/24/2017,1292.0,1268.45,1274.1
9,0,0.016734193999999997,3/27/2017,0.050603237,1251.1,3/27/2017,1278.75,1247.2,1271.1
10,0,0.12064457099999999,3/28/2017,0.184120328,1245.75,3/28/2017,1264.0,1242.1,1258.0
11,0,-0.12878067699999998,3/29/2017,0.012090333,1256.65,3/29/2017,1260.0,1233.35,1251.7
12,0,-0.010742443999999999,3/30/2017,0.057141835,1270.65,3/30/2017,1274.75,1253.0,1255.0
13,0,0.23822080199999998,3/31/2017,0.08166543799999999,1320.9,3/31/2017,1337.65,1266.0,1266.0
14,0,0.16163408099999999,4/3/2017,0.145825548,1374.65,4/3/2017,1380.5,1337.05,1342.0
15,0,0.180632233,4/5/2017,0.112979577,1415.0,4/5/2017,1418.0,1380.1,1395.2
16,0,0.22795602,4/6/2017,0.157277991,1438.5,4/6/2017,1448.9,1402.2,1409.0
17,0,0.342137649,4/7/2017,0.21377315,1406.6,4/7/2017,1434.0,1402.55,1421.3
18,0,0.17986149699999998,4/10/2017,0.19015067300000002,1381.35,4/10/2017,1424.9,1377.3,1410.0
19,0,0.232346793,4/11/2017,0.108153015,1372.35,4/11/2017,1400.45,1370.1,1387.85
20,0,-0.075641053,4/12/2017,0.135989532,1354.0,4/12/2017,1386.45,1351.15,1382.8
21,0,0.12428431,4/13/2017,0.013099488000000001,1364.8,4/13/2017,1373.4,1347.35,1354.0
22,0,0.20705976,4/17/2017,0.428144724,1391.85,4/17/2017,1395.55,1365.0,1365.0
23,0,0.222611765,4/18/2017,0.129925375,1370.2,4/18/2017,1410.0,1367.0,1399.95
24,0,0.109228058,4/19/2017,0.09520902,1368.8,4/19/2017,1382.55,1357.55,1369.0
25,0,0.067908127,4/20/2017,0.148390934,1369.55,4/20/2017,1386.8,1364.1,1379.0
26,0,0.12011021300000001,4/21/2017,0.11557010300000001,1402.5,4/21/2017,1421.0,1378.55,1380.5
